"filename", "language", "Swift", "C++", "JSON", "XML", "YAML", "Markdown", "Dart", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"g:\flutter_projects\e_learning\macos\Runner\MainFlutterWindow.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"g:\flutter_projects\e_learning\pubspec.yaml", "YAML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 38, 7, 77
"g:\flutter_projects\e_learning\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"g:\flutter_projects\e_learning\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"g:\flutter_projects\e_learning\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\flutter_projects\e_learning\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\flutter_projects\e_learning\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"g:\flutter_projects\e_learning\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\flutter_projects\e_learning\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\flutter_projects\e_learning\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\flutter_projects\e_learning\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"g:\flutter_projects\e_learning\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\flutter_projects\e_learning\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"g:\flutter_projects\e_learning\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 52, 539, 248, 601, 35, 13, 1948, 38, 8, 89, 320, 538, 4429
